"url","template","indexable","robots","canonical","in_sitemap"
"https://kindredtrips.com/resort/crown-paradise-club-cancun","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/crown-paradise-club-cancun","true"
"https://kindredtrips.com/resort/crown-paradise-golden-puerto-vallarta","resort","false","noindex, follow","https://kindredtrips.com/resort/crown-paradise-golden-puerto-vallarta","false"
"https://kindredtrips.com/resort/crown-suites-at-lifestyle-holidays-vacation-resort","resort","false","noindex, follow","https://kindredtrips.com/resort/crown-suites-at-lifestyle-holidays-vacation-resort","false"
"https://kindredtrips.com/resort/crystal-cove-by-elegant-hotels","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/crystal-cove-by-elegant-hotels","true"
"https://kindredtrips.com/resort/curtain-bluff","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/curtain-bluff","true"
"https://kindredtrips.com/resort/decameron-aquarium","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/decameron-aquarium","true"
"https://kindredtrips.com/resort/decameron-baru","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/decameron-baru","true"
"https://kindredtrips.com/resort/decameron-cartagena","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/decameron-cartagena","true"
"https://kindredtrips.com/resort/decameron-galeon","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/decameron-galeon","true"
"https://kindredtrips.com/resort/decameron-isla-coral-guayabitos-ramada-all-inclusive-resort","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/decameron-isla-coral-guayabitos-ramada-all-inclusive-resort","true"
"https://kindredtrips.com/resort/decameron-isleno","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/decameron-isleno","true"
"https://kindredtrips.com/resort/decameron-la-marina-guayabitos-ramada-all-inclusive-resort","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/decameron-la-marina-guayabitos-ramada-all-inclusive-resort","true"
"https://kindredtrips.com/resort/decameron-las-heliconias","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/decameron-las-heliconias","true"
"https://kindredtrips.com/resort/decameron-los-cocos-guayabitos-ramada-all-inclusive-resort","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/decameron-los-cocos-guayabitos-ramada-all-inclusive-resort","true"
"https://kindredtrips.com/resort/decameron-los-delfines","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/decameron-los-delfines","true"
"https://kindredtrips.com/resort/decameron-marazul","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/decameron-marazul","true"
"https://kindredtrips.com/resort/decameron-maryland","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/decameron-maryland","true"
"https://kindredtrips.com/resort/decameron-panaca-all-inclusive","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/decameron-panaca-all-inclusive","true"
"https://kindredtrips.com/resort/deja-resort","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/deja-resort","true"
"https://kindredtrips.com/resort/del-mar-by-joy-resorts","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/del-mar-by-joy-resorts","true"
"https://kindredtrips.com/resort/delta-hotels-by-marriott-riviera-nayarit-an-all-inclusive-resort","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/delta-hotels-by-marriott-riviera-nayarit-an-all-inclusive-resort","true"
"https://kindredtrips.com/resort/desire-pearl-riviera-maya-resort","resort","false","noindex, follow","https://kindredtrips.com/resort/desire-pearl-riviera-maya-resort","false"
"https://kindredtrips.com/resort/desire-riviera-maya-resort","resort","false","noindex, follow","https://kindredtrips.com/resort/desire-riviera-maya-resort","false"
"https://kindredtrips.com/resort/devossion-by-live-aqua-playa-del-carmen","resort","false","noindex, follow","https://kindredtrips.com/resort/devossion-by-live-aqua-playa-del-carmen","false"
"https://kindredtrips.com/resort/divi-aruba","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/divi-aruba","true"
"https://kindredtrips.com/resort/divi-carina-bay-beach-resort-and-casino","resort","false","noindex, follow","https://kindredtrips.com/resort/divi-carina-bay-beach-resort-and-casino","false"
"https://kindredtrips.com/resort/divi-dutch-village-beach-resort","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/divi-dutch-village-beach-resort","true"
"https://kindredtrips.com/resort/divi-flamingo-beach-resort-and-casino","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/divi-flamingo-beach-resort-and-casino","true"
